ID,CUARTO,IDHOSTAL
200000,0,200000
200000,1,200000
200000,2,200000
200000,3,200000
200000,4,200000
200000,5,200000
200000,6,200000
200000,7,200000
200000,8,200000
200000,9,200000
200000,10,200000
200000,11,200000
200000,12,200000
200000,13,200000
200000,14,200000
200000,15,200000
200000,16,200000
200000,17,200000
200000,18,200000
200000,19,200000
200000,20,200000
200000,21,200000
200000,22,200000
200000,23,200000
200000,24,200000
200000,25,200000
200000,26,200000
200000,27,200000
200000,28,200000
200000,29,200000
200000,30,200000
200000,31,200000
200000,32,200000
200000,33,200000
200000,34,200000
200000,35,200000
200000,36,200000
200000,37,200000
200000,38,200000
200000,39,200000
200000,40,200000
200000,41,200000
200000,42,200000
200000,43,200000
200000,44,200000
200000,45,200000
200000,46,200000
200000,47,200000
200000,48,200000
200000,49,200000
200000,50,200000
200000,51,200000
200000,52,200000
200000,53,200000
200000,54,200000
200000,55,200000
200000,56,200000
200000,57,200000
200000,58,200000
200000,59,200000
200000,60,200000
200000,61,200000
200000,62,200000
200000,63,200000
200000,64,200000
200000,65,200000
200000,66,200000
200000,67,200000
200000,68,200000
200000,69,200000
200000,70,200000
200000,71,200000
200000,72,200000
200000,73,200000
200000,74,200000
200000,75,200000
200000,76,200000
200000,77,200000
200000,78,200000
200000,79,200000
200000,80,200000
200000,81,200000
200000,82,200000
200000,83,200000
200000,84,200000
200000,85,200000
200000,86,200000
200000,87,200000
200000,88,200000
200000,89,200000
200000,90,200000
200000,91,200000
200000,92,200000
200000,93,200000
200000,94,200000
200000,95,200000
200000,96,200000
200000,97,200000
200000,98,200000
200000,99,200000
200000,100,200000
200000,101,200000
200000,102,200000
200000,103,200000
200000,104,200000
200000,105,200000
200000,106,200000
200000,107,200000
200000,108,200000
200000,109,200000
200000,110,200000
200000,111,200000
200000,112,200000
200000,113,200000
200000,114,200000
200000,115,200000
200000,116,200000
200000,117,200000
200000,118,200000
200000,119,200000
200000,0,200001
200000,1,200001
200000,2,200001
200000,3,200001
200000,4,200001
200000,5,200001
200000,6,200001
200000,7,200001
200000,8,200001
200000,9,200001
200000,10,200001
200000,11,200001
200000,12,200001
200000,13,200001
200000,14,200001
200000,15,200001
200000,16,200001
200000,17,200001
200000,18,200001
200000,19,200001
200000,20,200001
200000,21,200001
200000,22,200001
200000,23,200001
200000,24,200001
200000,25,200001
200000,26,200001
200000,27,200001
200000,28,200001
200000,29,200001
200000,30,200001
200000,31,200001
200000,32,200001
200000,33,200001
200000,34,200001
200000,35,200001
200000,36,200001
200000,37,200001
200000,38,200001
200000,39,200001
200000,40,200001
200000,41,200001
200000,42,200001
200000,43,200001
200000,44,200001
200000,45,200001
200000,46,200001
200000,47,200001
200000,48,200001
200000,49,200001
200000,50,200001
200000,51,200001
200000,52,200001
200000,53,200001
200000,54,200001
200000,55,200001
200000,56,200001
200000,57,200001
200000,58,200001
200000,59,200001
200000,60,200001
200000,61,200001
200000,62,200001
200000,63,200001
200000,64,200001
200000,65,200001
200000,66,200001
200000,67,200001
200000,68,200001
200000,69,200001
200000,70,200001
200000,71,200001
200000,72,200001
200000,73,200001
200000,74,200001
200000,75,200001
200000,76,200001
200000,77,200001
200000,78,200001
200000,79,200001
200000,80,200001
200000,81,200001
200000,82,200001
200000,83,200001
200000,84,200001
200000,85,200001
200000,86,200001
200000,87,200001
200000,88,200001
200000,89,200001
200000,90,200001
200000,91,200001
200000,92,200001
200000,93,200001
200000,94,200001
200000,95,200001
200000,96,200001
200000,97,200001
200000,98,200001
200000,99,200001
200000,100,200001
200000,101,200001
200000,102,200001
200000,103,200001
