ID,CUARTO,COMPARTIDA,RESTAURANTE,SALADEESTUDIO,SALAESPARCIMIENTO,GYM,PRECIO,IDVIVIENDA
400000,0,0,0,1,0,0,400000
400001,1,1,1,1,0,1,400000
400002,2,0,0,0,1,0,400000
400003,3,0,0,0,1,0,400000
400004,4,1,1,0,0,0,400000
400005,5,0,0,0,1,0,400000
400006,6,0,1,1,0,0,400000
400007,7,1,0,0,1,0,400000
400008,8,1,0,1,1,1,400000
400009,9,0,0,1,0,1,400000
400010,10,1,0,1,1,0,400000
400011,11,0,1,1,0,1,400000
400012,12,0,1,1,1,1,400000
400013,13,0,0,1,0,1,400000
400014,14,0,1,0,1,1,400000
400015,15,0,0,0,1,1,400000
400016,16,0,0,0,0,1,400000
400017,17,0,1,1,0,0,400000
400018,18,1,0,1,0,1,400000
400019,19,1,1,1,0,1,400000
400020,20,0,1,1,0,0,400000
400021,21,1,0,1,0,0,400000
400022,22,1,0,0,0,0,400000
400023,23,0,1,1,0,1,400000
400024,24,0,1,1,1,1,400000
400025,25,1,0,0,1,0,400000
400026,26,1,0,1,0,0,400000
400027,27,0,1,1,0,1,400000
400028,28,0,1,0,0,1,400000
400029,29,0,1,0,0,1,400000
400030,30,0,0,0,0,0,400000
400031,31,0,0,1,1,1,400000
400032,32,1,0,0,0,0,400000
400033,33,1,0,1,0,0,400000
400034,34,1,0,1,1,0,400000
400035,35,0,1,1,1,0,400000
400036,36,1,1,1,0,0,400000
400037,37,1,0,0,1,0,400000
400038,38,0,1,1,0,0,400000
400039,39,0,0,0,0,1,400000
400040,40,0,0,1,1,0,400000
400041,41,1,1,0,0,0,400000
400042,42,1,0,0,1,0,400000
400043,43,0,1,1,0,0,400000
400044,44,1,1,1,1,1,400000
400045,45,0,0,0,0,1,400000
400046,46,1,0,1,1,0,400000
400047,47,1,0,1,1,1,400000
400048,48,0,1,0,0,1,400000
400049,49,0,1,1,0,0,400000
400050,50,0,0,1,1,1,400000
400051,51,1,0,0,1,1,400000
400052,52,0,0,1,0,0,400000
400053,53,1,1,1,0,1,400000
400054,54,1,0,1,0,0,400000
400055,55,1,0,1,1,1,400000
400056,56,0,0,0,1,1,400000
400057,57,0,1,1,1,1,400000
400058,58,1,1,0,1,1,400000
400059,59,1,1,0,0,1,400000
400060,60,1,1,1,0,1,400000
400061,61,0,0,0,1,1,400000
400062,62,0,1,1,1,1,400000
400063,63,1,0,0,1,1,400000
400064,64,0,1,1,0,1,400000
400065,65,0,1,0,0,0,400000
400066,66,0,1,0,0,1,400000
400067,67,1,1,1,0,0,400000
400068,68,0,1,0,0,1,400000
400069,69,1,1,1,1,1,400000
400070,70,1,0,1,0,0,400000
400071,71,1,1,0,0,0,400000
400072,72,1,1,0,0,0,400000
400073,73,0,1,0,0,0,400000
400074,74,0,0,1,1,1,400000
400075,75,1,1,1,0,1,400000
400076,76,0,0,1,0,1,400000
400077,77,0,0,0,1,0,400000
400078,78,0,1,1,0,0,400000
400079,79,0,1,1,0,0,400000
400080,80,1,0,0,0,1,400000
400081,81,1,0,0,0,1,400000
400082,82,0,1,1,1,0,400000
